num,Date,Open
932,2017-07-21,9
933,2017-07-22,12
934,2017-07-23,10
935,2017-07-24,11
936,2017-07-25,13
937,2017-07-26,12
938,2017-07-27,8
939,2017-07-28,6
940,2017-07-29,15
941,2017-07-30,11
942,2017-07-31,11
943,2017-08-01,11
944,2017-08-02,5
945,2017-08-03,10
946,2017-08-04,13
947,2017-08-05,18
948,2017-08-06,13
949,2017-08-07,12
950,2017-08-08,12
951,2017-08-09,11
952,2017-08-10,9
953,2017-08-11,13
954,2017-08-12,6
955,2017-08-13,4
956,2017-08-14,11
957,2017-08-15,7
958,2017-08-16,5
959,2017-08-17,11
960,2017-08-18,8
961,2017-08-19,17
962,2017-08-20,10
963,2017-08-21,16
964,2017-08-22,15
965,2017-08-23,10
966,2017-08-24,12
967,2017-08-25,13
968,2017-08-26,14
969,2017-08-27,8
970,2017-08-28,16
971,2017-08-29,8
972,2017-08-30,13
973,2017-08-31,14
974,2017-09-01,10
975,2017-09-02,14
976,2017-09-03,11
977,2017-09-04,9
978,2017-09-05,9
979,2017-09-06,7
980,2017-09-07,11
981,2017-09-08,10
982,2017-09-09,14
983,2017-09-10,14
984,2017-09-11,18
985,2017-09-12,16
986,2017-09-13,11
987,2017-09-14,16
988,2017-09-15,2
989,2017-09-16,12
990,2017-09-17,7
991,2017-09-18,19
992,2017-09-19,13
993,2017-09-20,15
994,2017-09-21,17
995,2017-09-22,18
996,2017-09-23,19
997,2017-09-24,15
998,2017-09-25,16
999,2017-09-26,21
1000,2017-09-27,15
1001,2017-09-28,10
1002,2017-09-29,17
1003,2017-09-30,19
1004,2017-10-01,13
1005,2017-10-02,12
1006,2017-10-03,6
1007,2017-10-04,2
1008,2017-10-05,5
1009,2017-10-06,12
1010,2017-10-07,6
1011,2017-10-08,10
1012,2017-10-09,18
1013,2017-10-10,11
1014,2017-10-11,13
1015,2017-10-12,8
1016,2017-10-13,16
1017,2017-10-14,18
1018,2017-10-15,18
1019,2017-10-16,11
1020,2017-10-17,16
1021,2017-10-18,15
1022,2017-10-19,12
1023,2017-10-20,23
1024,2017-10-21,17
1025,2017-10-22,15
1026,2017-10-23,15
1027,2017-10-24,17
1028,2017-10-25,18
1029,2017-10-26,9
1030,2017-10-27,15
1031,2017-10-28,11
1032,2017-10-29,7
1033,2017-10-30,17
1034,2017-10-31,22
1035,2017-11-01,11
1036,2017-11-02,17
1037,2017-11-03,10
1038,2017-11-04,11
1039,2017-11-05,9
1040,2017-11-06,11
1041,2017-11-07,18
1042,2017-11-08,11
1043,2017-11-09,12
1044,2017-11-10,11
1045,2017-11-11,11
1046,2017-11-12,12
1047,2017-11-13,9
1048,2017-11-14,20
1049,2017-11-15,10
1050,2017-11-16,16
1051,2017-11-17,9
1052,2017-11-18,12
1053,2017-11-19,9
1054,2017-11-20,12
1055,2017-11-21,19
1056,2017-11-22,20
1057,2017-11-23,12
1058,2017-11-24,14
1059,2017-11-25,14
1060,2017-11-26,12
1061,2017-11-27,6
1062,2017-11-28,10
1063,2017-11-29,12
1064,2017-11-30,10
1065,2017-12-01,15
1066,2017-12-02,14
1067,2017-12-03,7
1068,2017-12-04,14
1069,2017-12-05,9
1070,2017-12-06,10
1071,2017-12-07,12
1072,2017-12-08,18
1073,2017-12-09,12
1074,2017-12-10,9
1075,2017-12-11,7
1076,2017-12-12,8
1077,2017-12-13,7
1078,2017-12-14,12
1079,2017-12-15,16
1080,2017-12-16,9
1081,2017-12-17,6
1082,2017-12-18,8
1083,2017-12-19,12
1084,2017-12-20,10
1085,2017-12-21,12
1086,2017-12-22,19
1087,2017-12-23,15
1088,2017-12-24,8
1089,2017-12-25,8
1090,2017-12-26,14
1091,2017-12-27,20
1092,2017-12-28,6
1093,2017-12-29,11
1094,2017-12-30,10
1095,2017-12-31,9
1096,2018-01-01,9
1097,2018-01-02,13
1098,2018-01-03,5
1099,2018-01-04,11
1100,2018-01-05,9
1101,2018-01-06,13
1102,2018-01-07,10
1103,2018-01-08,9
1104,2018-01-09,11
1105,2018-01-10,12
1106,2018-01-11,10
1107,2018-01-12,12
1108,2018-01-13,11
1109,2018-01-14,7
1110,2018-01-15,3
1111,2018-01-16,12
1112,2018-01-17,10
1113,2018-01-18,11
1114,2018-01-19,10
1115,2018-01-20,10
1116,2018-01-21,9
1117,2018-01-22,17
1118,2018-01-23,8
1119,2018-01-24,4
1120,2018-01-25,4
1121,2018-01-26,12
1122,2018-01-27,7
1123,2018-01-28,8
1124,2018-01-29,14
1125,2018-01-30,6
1126,2018-01-31,10
